DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,1500
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,91
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,1406
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,1500
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,1500
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,1500
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,91
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,1411
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,145
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,231
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,151
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,231
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:44,IPv4,3.210.6.136,192.168.0.15,6,454
2025-06-23 11:40:44,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:44,IPv4,3.210.6.136,192.168.0.15,6,52
2025-06-23 11:40:44,IPv4,192.168.0.15,3.210.6.136,6,76
2025-06-23 11:40:44,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:44,IPv4,54.224.79.84,192.168.0.15,6,447
2025-06-23 11:40:44,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:44,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:44,IPv4,192.168.0.15,54.224.79.84,6,76
2025-06-23 11:40:44,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:44,IPv4,3.210.6.136,192.168.0.15,6,52
2025-06-23 11:40:44,IPv4,54.224.79.84,192.168.0.15,6,52
2025-06-23 11:40:45,IPv4,34.206.6.11,192.168.0.15,6,1400
2025-06-23 11:40:45,IPv4,34.206.6.11,192.168.0.15,6,52
2025-06-23 11:40:45,IPv4,192.168.0.15,34.206.6.11,6,76
